,item,calories,calories_from_fat,total_fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugars,protein
39,"Diet Coke, Small Cup",0,0,0,0.0,0.0,0,15,0,0,0,0
40,"Dr Pepper, Small Cup",160,0,0,0.0,0.0,0,40,43,0,43,0
41,"Fanta Orange, Small Cup",180,0,0,0.0,0.0,0,25,49,0,49,0
42,"Hi-C Flashin' Fruit Punch, Small Cup",170,0,0,0.0,0.0,0,15,46,0,46,0
43,Honest Tropical Green Tea Large,110,0,0,0.0,0.0,0,55,29,0,29,0
44,Honest Tropical Green Tea Medium,120,0,0,0.0,0.0,0,10,30,0,30,0
45,Honest Tropical Green Tea Small,60,0,0,0.0,0.0,0,5,14,0,14,0
46,Honest Tropical Green Tea Value,60,0,0,0.0,0.0,0,5,14,0,14,0
47,Juicy Juice Apple Juice,90,0,0,0.0,0.0,0,5,22,0,20,0
48,Mango Peach FruitTea Chiller Large,280,0,0,0.0,0.0,0,60,72,0,70,0
49,Mango Peach FruitTea Chiller Medium,250,0,0,0.0,0.0,0,45,64,0,62,0
50,Mango Peach FruitTea Chiller Small,150,0,0,0.0,0.0,0,30,37,0,36,0
51,"Minute Maid Light Lemonade, Small Cup",5,0,0,0.0,0.0,0,5,1,0,0,0
52,Nestlé Pure Life Bottled Water,0,0,0,0.0,0.0,0,0,0,0,0,0
53,"Pibb Xtra, Small Cup",160,0,0,0.0,0.0,0,25,43,0,43,0
54,"Sprite, Small Cup",160,0,0,0.0,0.0,0,35,43,0,43,0
55,Strawberry Iced Tea,50,0,0,0.0,0.0,0,10,13,0,12,0
56,Strawberry Lemonade,200,0,0,0.0,0.0,0,0,51,0,48,0
57,Strawberry Passion FruiTea Chiller Large,290,0,0,0.0,0.0,0,60,73,0,69,0
58,Strawberry Passion FruiTea Chiller Medium,250,0,0,0.0,0.0,0,45,65,0,61,0
59,Strawberry Passion FruiTea Chiller Small,150,0,0,0.0,0.0,0,30,38,0,36,0
60,TruMoo Lowfat Chocolate Milk,140,27,3,2.0,0.0,10,170,22,0,20,7
61,TruMoo Lowfat White Milk,100,27,3,2.0,0.0,10,125,12,0,11,8
62,Artisan Egg Sandwich with All-Natural Sausage,500,297,33,13.0,0.5,275,860,31,1,4,22
